 INFO  Accepting connections at http://localhost:3000
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 Returned 200 in 18 ms
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/13/2026 3:41:06 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:41:59 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/13/2026 3:43:47 AM 127.0.0.1 Returned 200 in 3 ms
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:44:37 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:44:39 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 Returned 304 in 1 ms
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:45:08 AM 127.0.0.1 Returned 304 in 4 ms
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 GET /
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 Returned 200 in 1 ms
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 GET /style.css
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 Returned 304 in 2 ms
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 GET /app.js
 HTTP  3/13/2026 3:45:42 AM 127.0.0.1 Returned 304 in 2 ms
